date,hour,org
2024-12-03,18,454446
2024-12-03,18,448823
2024-12-03,20,452995
2024-12-03,20,451646
2024-12-03,20,448823
2024-12-03,19,1214
2024-12-03,19,448823
2024-12-03,19,449623
2024-12-03,19,452801
2024-12-03,21,449623
2024-12-03,20,447806
2024-12-03,20,443689
2024-12-03,20,452801
2024-12-03,21,436247
2024-12-03,23,452801
2024-12-03,22,452694
2024-12-03,22,452995
2024-12-03,22,452086
2024-12-03,22,455284
2024-12-03,23,454446
2024-12-03,8,448067
2024-12-03,8,445291
2024-12-03,8,452153
2024-12-03,8,444746
2024-12-03,8,452594
2024-12-03,9,453508
2024-12-03,10,449475
2024-12-03,10,452594
2024-12-03,10,447216
2024-12-03,10,443771
2024-12-03,10,447008
2024-12-03,11,451411
2024-12-03,11,450099
2024-12-03,11,430140
2024-12-03,11,450243
2024-12-03,11,454030
2024-12-03,12,442028
2024-12-03,13,452594
2024-12-03,13,451420
2024-12-03,13,442028
2024-12-03,14,445684
2024-12-03,14,452594
2024-12-03,14,451411
2024-12-03,15,447008
2024-12-03,15,454626
2024-12-03,15,443225
2024-12-03,14,453573
2024-12-03,16,454901
2024-12-03,16,452594
2024-12-03,17,447008
2024-12-03,17,452594
2024-12-03,17,445684
2024-12-03,17,450099
2024-12-03,17,453508
2024-12-03,17,454901
2024-12-03,19,445291
2024-12-03,18,447414
2024-12-03,18,450099
2024-12-03,18,451631
2024-12-03,20,451851
2024-12-03,20,454626
2024-12-03,20,449475
2024-12-03,20,445935
2024-12-03,19,450243
2024-12-03,19,451750
2024-12-03,19,448067
2024-12-03,21,450099
2024-12-03,21,447008
2024-12-03,20,443771
2024-12-03,20,444188
2024-12-03,20,447008
2024-12-03,20,449758
2024-12-03,21,438481
2024-12-03,21,450243
2024-12-03,21,454626
2024-12-03,21,445334
2024-12-03,21,452594
2024-12-03,21,734
2024-12-03,22,450723
2024-12-03,22,606
2024-12-03,22,450243
2024-12-03,22,453333
2024-12-03,23,443771
2024-12-03,23,447008
2024-12-03,6,41981
2024-12-03,2,454620
2024-12-03,6,444754
2024-12-03,8,444339
2024-12-03,7,455426
2024-12-03,8,454620
2024-12-03,8,447128
2024-12-03,9,446458
2024-12-03,9,455426
2024-12-03,9,455924
2024-12-03,0,38906
2024-12-03,8,441542
2024-12-03,8,449531
2024-12-03,8,447050
2024-12-03,7,38906
2024-12-03,7,452732
2024-12-03,8,38906
2024-12-03,8,450791
2024-12-03,8,454452
2024-12-03,8,443280
2024-12-03,8,452082
2024-12-03,9,29738
2024-12-03,9,447174
2024-12-03,10,453043
2024-12-03,10,450796
2024-12-03,10,437263
2024-12-03,10,449531
2024-12-03,11,450796
2024-12-03,11,453323
2024-12-03,12,451546
2024-12-03,12,438371
2024-12-03,13,450791
2024-12-03,13,445393
2024-12-03,13,455855
2024-12-03,13,445739
2024-12-03,14,38906
2024-12-03,14,449531
2024-12-03,14,450720
2024-12-03,13,31764
2024-12-03,14,454319
2024-12-03,14,452829
2024-12-03,14,451743
2024-12-03,14,451557
2024-12-03,15,449531
2024-12-03,15,451743
2024-12-03,15,455408
2024-12-03,15,456005
2024-12-03,15,451916
2024-12-03,16,29738
2024-12-03,16,452429
2024-12-03,16,437263
2024-12-03,18,453043
2024-12-03,17,449531
2024-12-03,17,38906
2024-12-03,19,452082
2024-12-03,19,451948
2024-12-03,19,445393
2024-12-03,18,454906
2024-12-03,20,33769
2024-12-03,19,453043
2024-12-03,19,38906
2024-12-03,19,452829
2024-12-03,20,442359
2024-12-03,20,451371
2024-12-03,22,449531
2024-12-03,21,453844
2024-12-03,21,29738
2024-12-03,23,443472
2024-12-03,23,453571
2024-12-03,23,38906
2024-12-03,22,450791
2024-12-03,22,455994
2024-12-03,23,456005
2024-12-03,22,451596
2024-12-03,22,38906
2024-12-03,23,441693
2024-12-03,23,436277
2024-12-03,3,31836
2024-12-03,8,449265
2024-12-03,7,62467
2024-12-03,8,455237
2024-12-03,9,442820
2024-12-03,8,31836
2024-12-03,8,1476
2024-12-03,9,451360
2024-12-03,9,453305
2024-12-03,9,441535
2024-12-03,10,442820
2024-12-03,10,441542
2024-12-03,10,449159
2024-12-03,10,444852
2024-12-03,10,443227
2024-12-03,11,442820
2024-12-03,12,441727
2024-12-03,12,449159
2024-12-03,12,452691
2024-12-03,12,448670
2024-12-03,12,449916
2024-12-03,13,455881
2024-12-03,8,443336
2024-12-03,7,454328
2024-12-03,8,452964
2024-12-03,9,453160
2024-12-03,8,454745
2024-12-03,8,447008
2024-12-03,8,29738
2024-12-03,9,453692
2024-12-03,9,451596
2024-12-03,9,438481
2024-12-03,10,453492
2024-12-03,10,447209
2024-12-03,10,443258
2024-12-03,11,453546
2024-12-03,12,32746
2024-12-03,12,446545
2024-12-03,13,452186
2024-12-03,13,378883
2024-12-03,14,450906
2024-12-03,13,448929
2024-12-03,14,439344
2024-12-03,14,452181
2024-12-03,14,438481
2024-12-03,15,451596
2024-12-03,15,437286
2024-12-03,15,439344
2024-12-03,14,454328
2024-12-03,15,454810
2024-12-03,16,447008
2024-12-03,17,439344
2024-12-03,17,453143
2024-12-03,17,442892
2024-12-03,17,451434
2024-12-03,19,442892
2024-12-03,18,451076
2024-12-03,20,453055
2024-12-03,19,455891
2024-12-03,19,378883
2024-12-03,19,450906
2024-12-03,20,451681
2024-12-03,20,451562
2024-12-03,20,378883
2024-12-03,21,451843
2024-12-03,22,451562
2024-12-03,9,451612
2024-12-03,9,444972
2024-12-03,9,1769
2024-12-03,9,454753
2024-12-03,10,449887
2024-12-03,10,447726
2024-12-03,10,454620
2024-12-03,10,454457
2024-12-03,10,446458
2024-12-03,10,443437
2024-12-03,11,448459
2024-12-03,11,447969
2024-12-03,12,454620
2024-12-03,12,454877
2024-12-03,12,455699
2024-12-03,12,454129
2024-12-03,12,453257
2024-12-03,12,445876
2024-12-03,13,436247
2024-12-03,13,443193
2024-12-03,13,442106
2024-12-03,13,451018
2024-12-03,13,452223
2024-12-03,13,451995
2024-12-03,13,455579
2024-12-03,14,455103
2024-12-03,14,453404
2024-12-03,14,443193
2024-12-03,14,451643
2024-12-03,14,453806
2024-12-03,15,452946
2024-12-03,15,449826
2024-12-03,15,453160
2024-12-03,14,441438
2024-12-03,14,455396
2024-12-03,16,455426
2024-12-03,17,453117
2024-12-03,19,437294
2024-12-03,19,454620
2024-12-03,18,446458
2024-12-03,20,453156
2024-12-03,21,454129
2024-12-03,20,452426
2024-12-03,20,438293
2024-12-03,20,447836
2024-12-03,21,455396
2024-12-03,21,455103
2024-12-03,22,447249
2024-12-03,21,447384
2024-12-03,23,445906
2024-12-03,22,452426
2024-12-03,13,453129
2024-12-03,13,455237
2024-12-03,14,454804
2024-12-03,13,37863
2024-12-03,14,455288
2024-12-03,14,451370
2024-12-03,15,449159
2024-12-03,15,449953
2024-12-03,14,449265
2024-12-03,16,38906
2024-12-03,16,430096
2024-12-03,16,441967
2024-12-03,17,454065
2024-12-03,17,453120
2024-12-03,17,442946
2024-12-03,17,453279
2024-12-03,18,452282
2024-12-03,20,443227
2024-12-03,19,452775
2024-12-03,19,452366
2024-12-03,19,453522
2024-12-03,20,447203
2024-12-03,20,62467
2024-12-03,21,453219
2024-12-03,22,453596
2024-12-03,21,430123
2024-12-03,21,62467
2024-12-03,22,454274
2024-12-03,23,454062
2024-12-03,3,449462
2024-12-03,6,453746
2024-12-03,8,452978
2024-12-03,8,442739
2024-12-03,7,454521
2024-12-03,8,454827
2024-12-03,8,447318
2024-12-03,9,447172
2024-12-03,9,447765
2024-12-03,9,451872
2024-12-03,9,454521
2024-12-03,10,8124
2024-12-03,10,454734
2024-12-03,10,455760
2024-12-03,10,449755
2024-12-03,10,441400
2024-12-03,10,452691
2024-12-03,11,438484
2024-12-03,11,452096
2024-12-03,11,445956
2024-12-03,12,452620
2024-12-03,12,453776
2024-12-03,12,446787
2024-12-03,12,377
2024-12-03,13,452076
2024-12-03,13,454941
2024-12-03,13,452402
2024-12-03,13,455520
2024-12-03,14,457
2024-12-03,13,347139
2024-12-03,15,451872
2024-12-03,15,456126
2024-12-03,15,449462
2024-12-03,15,452285
2024-12-03,16,446711
2024-12-03,16,448918
2024-12-03,16,452793
2024-12-03,16,454521
2024-12-03,16,449462
2024-12-03,17,347139
2024-12-03,17,452620
2024-12-03,17,454521
2024-12-03,18,455287
2024-12-03,17,452793
2024-12-03,17,452884
2024-12-03,19,347139
2024-12-03,19,446711
2024-12-03,18,451517
2024-12-03,18,448918
2024-12-03,19,454786
2024-12-03,19,451872
2024-12-03,21,446711
2024-12-03,20,428086
2024-12-03,23,449462
2024-12-03,22,347139
2024-12-03,22,449914
2024-12-03,22,449462
2024-12-03,6,27648
2024-12-03,6,453995
2024-12-03,3,446787
2024-12-03,5,27648
2024-12-03,7,445906
2024-12-03,2,454160
2024-12-03,7,452004
2024-12-03,8,451624
2024-12-03,8,444256
2024-12-03,8,450168
2024-12-03,9,453068
2024-12-03,9,452105
2024-12-03,9,452299
2024-12-03,10,452620
2024-12-03,6,436247
2024-12-03,6,439344
2024-12-03,0,436247
2024-12-03,8,455476
2024-12-03,8,452556
2024-12-03,9,454951
2024-12-03,9,450236
2024-12-03,9,453995
2024-12-03,11,436247
2024-12-03,11,452556
2024-12-03,11,453995
2024-12-03,11,451007
2024-12-03,12,452172
2024-12-03,12,445689
2024-12-03,12,443162
2024-12-03,12,451676
2024-12-03,12,451007
2024-12-03,12,438495
2024-12-03,12,454951
2024-12-03,12,453995
2024-12-03,12,437303
2024-12-03,13,443162
2024-12-03,13,442847
2024-12-03,13,449599
2024-12-03,13,443512
2024-12-03,14,454705
2024-12-03,14,455585
2024-12-03,14,453275
2024-12-03,14,453995
2024-12-03,15,450424
2024-12-03,15,442886
2024-12-03,15,449736
2024-12-03,15,449792
2024-12-03,15,453995
2024-12-03,15,438495
2024-12-03,16,446757
2024-12-03,17,448068
2024-12-03,17,453995
2024-12-03,17,455566
2024-12-03,17,442319
2024-12-03,19,453995
